collected_funds,campaign_quality,goal,images,video,comments_count,updates_count,creators,business_venture,social,pitch_size,filler_words,duration,reach30in2,posemo,negemo,time
525,5,10000,7,0,2,0,1,1,0,390,0,4.56434819146784,FALSE,3.59,0.77,1289
900,9,1500,6,1,9,4,2,1,0,491,0,4.20469261939097,FALSE,5.7,0.81,1021
775,9,12056,11,1,5,0,2,1,0,603,0,2.83321334405622,FALSE,2.99,0.83,1077
7780,6,7500,0,1,25,5,3,1,0,610,0,3.09104245335832,FALSE,2.95,0.49,707
1065,2,8500,0,0,3,0,1,1,0,531,0,4.0943445622221,FALSE,4.33,0.56,1115
1515,6,20000,5,0,17,7,8,1,0,646,0,4.24849524204936,FALSE,5.42,1.7,816
1005,3,1000,0,0,6,0,1,0,0,336,0,3.25809653802148,FALSE,3.87,0.6,1354
1675,9,3500,4,1,9,0,1,1,0,503,0,3.40119738166216,FALSE,6.56,0.2,1358
2250,9,3500,5,1,42,4,2,1,0,498,0.2,2.63905732961526,TRUE,6.43,2.81,1222
8196,9,8000,5,1,42,6,4,0,1,788,0,3.04452243772342,TRUE,4.31,1.27,1092
1690,9,10000,5,1,10,6,1,1,0,688,0,4.63472898822964,FALSE,5.23,0.15,616
850,4,4000,1,0,11,2,2,1,0,604,0,3.40119738166216,FALSE,2.81,0.66,776
1126,6,2500,6,0,19,7,1,1,0,264,0,3.58351893845611,FALSE,2.65,1.14,1040
2310,9,15000,6,1,23,4,1,0,1,386,0,4.0943445622221,FALSE,5.18,0.26,1098
1219,2,4000,0,0,4,0,1,1,0,331,0,3.61091791264422,FALSE,3.32,0.3,793
11615,0,4000,0,0,75,0,3,0,1,506,0,4.12713438504509,TRUE,3.95,1.78,984
5550,9,5500,14,1,11,13,5,0,1,854,0,3.52636052461616,FALSE,6.44,0.59,1333
685,9,3000,4,1,10,0,1,1,0,375,0,4.79579054559674,FALSE,7.47,0.53,502
2900,6,16000,0,1,18,7,6,1,0,1000,0,4.23410650459726,FALSE,4.8,1.4,844
1200,6,5000,16,0,4,7,4,1,0,530,0,3.40119738166216,FALSE,4.34,0,1075
1100,4,16000,1,0,7,0,3,1,0,466,0,3.85014760171006,FALSE,7.94,0,1014
1355,6,4500,3,0,13,5,1,1,0,346,0.29,3.55534806148941,FALSE,4.05,0,1110
3010,0,10000,0,0,17,0,1,0,1,15,0,3.80666248977032,FALSE,0,6.67,1268
640,6,10000,9,1,1,9,1,0,0,455,0,4.17438726989564,FALSE,4.4,0.22,629
717,3,10000,0,0,4,0,2,1,0,583,0,2.63905732961526,FALSE,1.72,0,1091
2220,8,5000,2,1,25,1,3,1,0,540,0,3.3322045101752,FALSE,4.26,0.74,1174
3010,7,3000,1,1,5,1,2,1,0,767,0,3.85014760171006,FALSE,4.82,0.52,1282
898,6,3000,0,1,0,0,3,1,0,283,0,3.52636052461616,FALSE,3.89,1.41,1334
3000,9,3000,8,1,7,8,2,1,0,722,0,3.8286413964891,FALSE,4.57,0.55,1190
11260,6,10000,0,1,30,1,1,1,0,699,0,4.07753744390572,FALSE,7.15,0.29,1128
2578,2,10000,0,0,29,0,1,1,0,502,0,4.11087386417331,FALSE,5.38,0.2,699
5881,9,5000,27,1,36,3,3,1,0,416,0,3.36729582998647,FALSE,4.57,0.24,1056
3337,9,12000,8,1,33,7,1,0,1,2839,0,3.91202300542815,FALSE,5.88,0.74,1250
1346,0,3500,0,0,13,0,1,0,1,232,0,3.2188758248682,FALSE,5.6,0.43,1209
4112,7,4000,1,1,36,0,1,1,0,741,0,3.68887945411394,FALSE,7.69,0.4,1129
730,6,5000,6,0,7,2,2,0,1,387,0,2.63905732961526,FALSE,2.07,0.26,1148
3720,6,5000,0,1,25,0,2,1,0,577,0,3.40119738166216,FALSE,4.68,1.91,1217
2305,7,2000,1,1,5,0,2,1,0,373,0,3.55534806148941,FALSE,8.58,0.54,1348
725,4,9000,2,0,2,0,1,1,0,456,0.22,2.89037175789616,FALSE,4.82,0.66,1306
4267,4,2500,1,0,21,2,3,0,1,950,0,4.0943445622221,TRUE,3.68,0.63,776
775,5,13300,3,0,3,0,1,0,1,244,0,3.29583686600433,FALSE,4.92,0.82,1203
2825,0,10000,0,0,7,0,1,1,0,570,0,4.04305126783455,FALSE,5.26,0.35,1063
6940,1,2500,0,0,25,0,2,0,1,390,0,4.15888308335967,FALSE,2.82,2.31,1184
1570,9,20000,10,1,18,6,2,0,0,914,0,3.71357206670431,FALSE,5.91,0,607
3880,9,5500,15,1,59,6,2,1,0,331,0,3.80666248977032,FALSE,4.83,0,1050
1500,3,1350,10,0,31,1,1,0,1,262,0,4.0943445622221,TRUE,4.2,1.91,637
2638,9,2800,3,1,8,1,9,0,1,625,0,3.46573590279973,FALSE,3.2,0.8,553
2165,6,12000,75,0,67,138,1,0,1,1200,0,4.70048036579242,FALSE,1.83,1.17,910
6086,9,6000,26,1,44,41,5,1,0,743,0,4.27666611901606,TRUE,3.77,2.69,564
1583,3,1000,0,0,2,7,4,1,0,496,0,3.46573590279973,FALSE,5.24,0.4,1351
1050,5,1500,5,0,19,0,1,0,1,728,0.14,3.13549421592915,FALSE,3.3,0.82,1138
745,6,1000,5,0,2,0,1,1,0,339,0,2.30258509299405,FALSE,7.08,0.29,1343
500,8,3000,2,1,0,0,3,1,0,481,0,3.46573590279973,FALSE,4.99,0.42,994
901,9,17500,23,1,6,3,6,0,1,658,0,3.36729582998647,FALSE,3.34,1.52,1232
3251,0,2500,0,0,7,1,1,0,1,396,0,3.97029191355212,FALSE,4.04,1.01,1321
5220,6,5000,0,1,1,0,1,1,0,268,0,3.91202300542815,FALSE,4.1,0.75,1340
1907,9,1900,23,1,7,10,3,1,0,323,0,2.56494935746154,FALSE,5.57,0,1112
